Date,Ambulance Trust,Count of Handovers Over 15 Minutes,Handover Compliance,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
19-May-22,EEAST,783,81.55%,77.37%,370,36.56%,142,14.03%,92,9.09%,455.81,318.73,205.3,373.18,41.17,92.29,694.35,0.45
18-May-22,EEAST,778,82.19%,80.29%,379,39.11%,174,17.96%,112,11.56%,473.91,338.54,211.92,388.3,43.69,102.56,705.66,0.49
17-May-22,EEAST,734,80.19%,79.18%,384,41.42%,163,17.58%,105,11.33%,445.56,312.07,186.01,392.55,43.1,93.44,665.9,0.48
16-May-22,EEAST,811,78.42%,82.67%,441,44.95%,202,20.59%,137,13.97%,578.89,429.03,285.94,461.03,49.77,116.91,813.7,0.59
15-May-22,EEAST,735,84.36%,71.36%,266,25.83%,97,9.42%,65,6.31%,343.12,229.52,151.59,431.45,33.94,70.76,582.65,0.33
14-May-22,EEAST,779,84.26%,79.09%,314,31.88%,119,12.08%,67,6.80%,360.56,235.93,142.17,429.18,36.2,72.8,594.3,0.37
13-May-22,EEAST,852,81.19%,83.28%,421,41.15%,234,22.87%,153,14.96%,559.81,404.69,253.12,400.42,47.27,107.54,805.91,0.55
12-May-22,EEAST,768,80.55%,77.26%,362,36.42%,172,17.30%,119,11.97%,505.68,371.67,249.41,538.53,44.73,97.38,741.08,0.51
11-May-22,EEAST,747,80.62%,80.15%,373,40.02%,176,18.88%,110,11.80%,481.04,351.1,223.86,398.05,45.24,96.84,702.65,0.52
10-May-22,EEAST,788,80.97%,81.24%,385,39.69%,179,18.45%,122,12.58%,548.12,407.69,282.32,434.82,48.11,120.43,777.79,0.57
09-May-22,EEAST,719,74.75%,79.62%,354,39.20%,160,17.72%,107,11.85%,451.68,324.35,206.64,381.97,44.25,100.97,665.99,0.5
08-May-22,EEAST,737,79.95%,76.69%,322,33.51%,143,14.88%,93,9.68%,420.63,296.65,190.79,480.63,40.39,90.74,646.97,0.44
07-May-22,EEAST,701,81.92%,72.64%,309,32.02%,140,14.51%,90,9.33%,373.72,257.57,154.59,381.15,37.19,83.26,598.22,0.39
06-May-22,EEAST,813,82.53%,75.84%,375,34.98%,176,16.42%,103,9.61%,462.53,320.85,197.67,441.28,39.97,93.04,714.08,0.43
05-May-22,EEAST,819,82.96%,81.25%,416,41.27%,213,21.13%,148,14.68%,577.28,428.64,283.39,351.32,48.73,122.27,818.65,0.57
04-May-22,EEAST,726,81.21%,75.31%,395,40.98%,221,22.93%,128,13.28%,514.9,381.52,234.5,486.95,46.15,102.47,741.46,0.53
03-May-22,EEAST,734,76.51%,78.50%,329,35.19%,162,17.33%,102,10.91%,424.58,298.85,186.38,409.82,41.52,100.15,647.02,0.45
02-May-22,EEAST,812,87.07%,74.43%,320,29.33%,146,13.38%,89,8.16%,406.34,276.87,174.2,415.12,36.5,85.85,663.66,0.37
01-May-22,EEAST,773,88.58%,69.70%,292,26.33%,101,9.11%,45,4.06%,274.3,155.14,73.41,254.07,28.77,56.04,531.85,0.25
30-Apr-22,EEAST,766,85.51%,71.72%,290,27.15%,106,9.93%,63,5.90%,313.29,193.84,106.71,353.52,31.49,62.21,560.6,0.29
29-Apr-22,EEAST,792,85.32%,73.27%,320,29.60%,112,10.36%,76,7.03%,346.32,216.58,121.41,471.08,33.28,69.24,599.54,0.32
28-Apr-22,EEAST,826,84.35%,78.97%,383,36.62%,155,14.82%,83,7.93%,409.35,266.97,141.52,265.28,37.84,84.36,659.69,0.39
27-Apr-22,EEAST,752,78.01%,80.60%,422,45.23%,203,21.76%,128,13.72%,494.77,353.35,211.52,343.97,46.03,101.34,715.71,0.53
26-Apr-22,EEAST,720,78.25%,82.00%,352,40.09%,189,21.53%,118,13.44%,454.16,328.91,202.63,338.17,45.42,102.55,664.7,0.52
